year,ignore,temperature,percentile,scenario,color_val
1871.04,,-0.013,17,grey,"rgb(100,100,100)"
1872.04,,-0.012,17,grey,"rgb(100,100,100)"
1873.04,,-0.01,17,grey,"rgb(100,100,100)"
1874.04,,-0.008,17,grey,"rgb(100,100,100)"
1875.04,,-0.007,17,grey,"rgb(100,100,100)"
1876.04,,-0.004,17,grey,"rgb(100,100,100)"
1877.04,,-0.003,17,grey,"rgb(100,100,100)"
1878.04,,-0.001,17,grey,"rgb(100,100,100)"
1879.04,,0,17,grey,"rgb(100,100,100)"
1880.04,,0.001,17,grey,"rgb(100,100,100)"
1881.04,,0.002,17,grey,"rgb(100,100,100)"
1882.04,,0.004,17,grey,"rgb(100,100,100)"
1883.04,,0.004,17,grey,"rgb(100,100,100)"
1884.04,,0.006,17,grey,"rgb(100,100,100)"
1885.04,,0.007,17,grey,"rgb(100,100,100)"
1886.04,,0.009,17,grey,"rgb(100,100,100)"
1887.04,,0.011,17,grey,"rgb(100,100,100)"
1888.04,,0.015,17,grey,"rgb(100,100,100)"
1889.04,,0.018,17,grey,"rgb(100,100,100)"
1890.04,,0.021,17,grey,"rgb(100,100,100)"
1891.04,,0.023,17,grey,"rgb(100,100,100)"
1892.04,,0.025,17,grey,"rgb(100,100,100)"
1893.04,,0.028,17,grey,"rgb(100,100,100)"
1894.04,,0.03,17,grey,"rgb(100,100,100)"
1895.04,,0.032,17,grey,"rgb(100,100,100)"
1896.04,,0.034,17,grey,"rgb(100,100,100)"
1897.04,,0.036,17,grey,"rgb(100,100,100)"
1898.04,,0.038,17,grey,"rgb(100,100,100)"
1899.04,,0.041,17,grey,"rgb(100,100,100)"
1900.04,,0.043,17,grey,"rgb(100,100,100)"
1901.04,,0.045,17,grey,"rgb(100,100,100)"
1902.04,,0.046,17,grey,"rgb(100,100,100)"
1903.04,,0.048,17,grey,"rgb(100,100,100)"
1904.04,,0.05,17,grey,"rgb(100,100,100)"
1905.04,,0.053,17,grey,"rgb(100,100,100)"
1906.04,,0.055,17,grey,"rgb(100,100,100)"
1907.04,,0.058,17,grey,"rgb(100,100,100)"
1908.04,,0.061,17,grey,"rgb(100,100,100)"
1909.04,,0.064,17,grey,"rgb(100,100,100)"
1910.04,,0.067,17,grey,"rgb(100,100,100)"
1911.04,,0.069,17,grey,"rgb(100,100,100)"
1912.04,,0.072,17,grey,"rgb(100,100,100)"
1913.04,,0.075,17,grey,"rgb(100,100,100)"
1914.04,,0.078,17,grey,"rgb(100,100,100)"
1915.04,,0.081,17,grey,"rgb(100,100,100)"
1916.04,,0.086,17,grey,"rgb(100,100,100)"
1917.04,,0.09,17,grey,"rgb(100,100,100)"
1918.04,,0.094,17,grey,"rgb(100,100,100)"
1919.04,,0.098,17,grey,"rgb(100,100,100)"
1920.04,,0.102,17,grey,"rgb(100,100,100)"
1921.04,,0.106,17,grey,"rgb(100,100,100)"
1922.04,,0.11,17,grey,"rgb(100,100,100)"
1923.04,,0.113,17,grey,"rgb(100,100,100)"
1924.04,,0.115,17,grey,"rgb(100,100,100)"
1925.04,,0.118,17,grey,"rgb(100,100,100)"
1926.04,,0.12,17,grey,"rgb(100,100,100)"
1927.04,,0.122,17,grey,"rgb(100,100,100)"
1928.04,,0.125,17,grey,"rgb(100,100,100)"
1929.04,,0.128,17,grey,"rgb(100,100,100)"
1930.04,,0.13,17,grey,"rgb(100,100,100)"
1931.04,,0.133,17,grey,"rgb(100,100,100)"
1932.04,,0.136,17,grey,"rgb(100,100,100)"
1933.04,,0.14,17,grey,"rgb(100,100,100)"
1934.04,,0.143,17,grey,"rgb(100,100,100)"
1935.04,,0.147,17,grey,"rgb(100,100,100)"
1936.04,,0.151,17,grey,"rgb(100,100,100)"
1937.04,,0.153,17,grey,"rgb(100,100,100)"
1938.04,,0.157,17,grey,"rgb(100,100,100)"
1939.04,,0.16,17,grey,"rgb(100,100,100)"
